geoid,state,county,coal2001,coal2002,coal2003,coal2004,coal2005,coal2006,coal2007,coal2008,coal2009,coal2010,coal2011,coal2012,coal2013,coal2014,coal2015,coal2016,coal2017,coal2018,coal2019,coal2020,coal2021,coal2022,coal2023,coal2024,surface2001,surface2002,surface2003,surface2004,surface2005,surface2006,surface2007,surface2008,surface2009,surface2010,surface2011,surface2012,surface2013,surface2014,surface2015,surface2016,surface2017,surface2018,surface2019,surface2020,surface2021,surface2022,surface2023,surface2024,underground2001,underground2002,underground2003,underground2004,underground2005,underground2006,underground2007,underground2008,underground2009,underground2010,underground2011,underground2012,underground2013,underground2014,underground2015,underground2016,underground2017,underground2018,underground2019,underground2020,underground2021,underground2022,underground2023,underground2024
42073,PA,Lawrence,72354.0,60429.0,26127.0,27723.0,19583.0,18866.0,20191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72354.0,60429.0,26127.0,27723.0,19583.0,18866.0,20191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42079,PA,Luzerne,427469.0,422361.0,338039.0,429341.0,341281.0,139195.0,235487.0,211216.0,283605.0,211469.0,302390.0,411430.0,401043.0,417504.0,496389.0,349971.0,164946.0,271353.0,375372.0,677278.0,556700.0,119390.0,239973.0,390688.0,401846.0,386545.0,321407.0,429341.0,341281.0,139195.0,235487.0,211216.0,201306.0,211469.0,302390.0,411430.0,370057.0,399742.0,483405.0,349971.0,162546.0,266605.0,375372.0,666246.0,556700.0,119390.0,239973.0,389448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42081,PA,Lycoming,354575.0,223661.0,298670.0,293571.0,213511.0,223512.0,247787.0,256810.0,244535.0,251818.0,222923.0,216357.0,228232.0,190994.0,119887.0,173232.0,201849.0,171833.0,120058.0,180220.0,127512.0,68921.0,46233.0,33000.0,354575.0,223661.0,298670.0,293571.0,213511.0,223512.0,247787.0,256810.0,244535.0,251818.0,222923.0,216357.0,228232.0,190994.0,119887.0,173232.0,201849.0,171833.0,120058.0,180220.0,127512.0,68921.0,46233.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42085,PA,Mercer,0.0,0.0,35097.0,84415.0,111934.0,96277.0,78635.0,0.0,0.0,89532.0,55272.0,9298.0,38544.0,56139.0,44584.0,49361.0,90611.0,63508.0,9700.0,0.0,0.0,0.0,22002.0,12574.0,0.0,0.0,35097.0,84415.0,111934.0,96277.0,78635.0,0.0,0.0,89532.0,55272.0,9298.0,38544.0,56139.0,44584.0,49361.0,90611.0,63508.0,9700.0,0.0,0.0,0.0,22002.0,12574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42091,PA,Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42097,PA,Northumberland,405866.0,212728.0,204813.0,250742.0,305536.0,299630.0,210831.0,242566.0,183646.0,215989.0,279804.0,331487.0,355781.0,268321.0,290244.0,182032.0,335642.0,267096.0,301980.0,286288.0,304256.0,323090.0,332672.0,405348.0,20378.0,8943.0,5628.0,51176.0,115328.0,106202.0,45843.0,82238.0,54983.0,98078.0,140710.0,252025.0,289012.0,216699.0,237011.0,149204.0,305205.0,239896.0,291371.0,275389.0,303136.0,317673.0,332672.0,405348.0,26255.0,192549.0,188515.0,189519.0,183223.0,185222.0,160493.0,148429.0,120839.0,108926.0,115515.0,48549.0,26433.0,12674.0,14626.0,13835.0,12057.0,14134.0,10166.0,10899.0,1120.0,2137.0,0.0,0.0
42107,PA,Schuylkill,780103.0,628228.0,557108.0,681247.0,609620.0,643644.0,960811.0,1053815.0,1262654.0,1152200.0,1436550.0,1496170.0,1277868.0,1158606.0,1159832.0,1040315.0,1358285.0,1259015.0,1411214.0,1280015.0,1076811.0,1275952.0,1712210.0,1726677.0,575386.0,502611.0,442962.0,590319.0,522230.0,559057.0,900633.0,994564.0,1110825.0,1062626.0,1309534.0,1427909.0,1202721.0,1030832.0,967582.0,832506.0,1280099.0,1147383.0,1355106.0,1238021.0,994156.0,1124380.0,1624077.0,1685004.0,133607.0,112286.0,92070.0,79155.0,81069.0,83611.0,60178.0,59251.0,51876.0,27599.0,46859.0,65811.0,62744.0,70611.0,55417.0,61836.0,52984.0,44283.0,44937.0,41994.0,43772.0,41155.0,51618.0,41673.0
42111,PA,Somerset,5162822.0,4294889.0,4251499.0,4407373.0,3840606.0,4160400.0,3942014.0,4536716.0,3795191.0,5449532.0,5558878.0,4224587.0,3370997.0,2948739.0,2049866.0,1526746.0,2171746.0,3060136.0,3090599.0,1817707.0,2159539.0,1913883.0,1891019.0,1261394.0,3624482.0,2837019.0,2545016.0,2661671.0,2390108.0,2600098.0,2439398.0,2693674.0,1875484.0,2848338.0,2900870.0,1525968.0,1113837.0,832931.0,529366.0,331542.0,743800.0,1130236.0,975810.0,527820.0,899667.0,864939.0,1017160.0,586720.0,1538340.0,1457870.0,1706483.0,1745702.0,1450498.0,1560302.0,1502616.0,1843042.0,1919707.0,2601194.0,2658008.0,2580494.0,2238711.0,2057396.0,1520500.0,1195204.0,1427946.0,1929900.0,2114789.0,1289887.0,1259872.0,1048944.0,873859.0,674674.0
42113,PA,Sullivan,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42117,PA,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,7737.0,1839.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7737.0,1839.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
